Resume,Category
"Python, Machine Learning, Pandas, SQL, Data Analysis, Power BI, Excel","Data Science"
"Java, Spring Boot, Hibernate, MySQL, REST API","Java Developer"
"Recruitment, Payroll, Employee Relations, HR Policies","HR"
"HTML, CSS, JavaScript, React, Bootstrap","Web Developer"
"Accounting, GST, Tally, Financial Statements","Accountant"
"Sales, Marketing, Customer Relationship, Lead Generation","Sales"
"Network Security, Linux, Firewall, Cisco","Network Engineer"
"Testing, Selenium, JUnit, Automation Testing","Testing"
"AWS, Docker, Kubernetes, DevOps, Jenkins","DevOps Engineer"
"Python, TensorFlow, Deep Learning, NLP","AI Engineer"
"Excel, SQL, Tableau, Data Visualization","Data Analyst"
"C++, Embedded Systems, Microcontroller, IoT","Embedded Engineer"
